Medical_Term,Frequency
adjacent,178
cold,178
gallops,178
jugular,178
testis,178
drink,178
hepatosplenomegaly,178
holding,177
plaque,177
probe,177
pds,177
tibia,177
provide,177
rongeur,177
hyperlipidemia,177
cholesterol,176
xii,176
encountered,176
symmetrical,176
constipation,175
moved,175
benefit,175
wheezes,175
anesthetized,175
worked,175
tachycardia,175
called,175
finally,175
prolonged,175
prepared,175
feeding,175
water,175
guidance,175
drops,175
dizziness,175
sinuses,175
cognitive,174
retractors,174
failed,174
wbc,174
showing,173
angioplasty,173
tablet,173
requested,173
fine,173
urinalysis,173
bandage,173
pump,173
abnormality,173
evening,173
preoperatively,173
spleen,173
consider,172
dysuria,172
lost,172
verified,172
established,172
percussion,172
hardware,172
enlargement,171
hemostatic,171
bronchoscope,171
prone,171
located,171
intraocular,171
keep,171
already,171
axial,171
maximum,171
mucous,171
iron,170
immediate,170
osteoarthritis,170
reflex,170
hard,170
constitutional,170
know,170
parietal,170
origin,169
safety,169
fourth,169
birth,169
hemostat,169
fractures,168
vena,168
too,168
stitches,168
auditory,168
experienced,168
patellar,168
rim,168
accomplished,168
series,168
elected,168
neural,168
seconds,167
lithotomy,167
scale,167
reconstruction,167
conservative,167
frequent,167
conjunctivae,167
moderately,167
perforation,167
permanent,167
patch,167
tender,167
analysis,166
thrombosis,166
underneath,166
tablets,166
obese,166
december,166
records,166
reportedly,165
labs,165
cortical,164
occlusion,164
syncope,164
difficulties,164
saphenous,164
prophylaxis,163
genitalia,163
injections,163
cava,163
transfer,163
contents,163
rotated,163
entry,162
irregular,162
require,162
pre,162
specific,162
hepatitis,162
bodies,162
repaired,162
heard,162
dvt,162
veress,161
fentanyl,161
arms,161
dementia,161
despite,161
thus,161
refill,161
come,161
observed,161
tsh,161
platelets,161
might,160
collateral,160
flaps,160
hallux,160
cigarettes,160
ovarian,160
smooth,160
drawn,160
impacted,160
relatively,159
conduction,159
primarily,159
stab,159
compartment,158
herniation,158
sweats,158
portal,158
preserved,158
maxillary,158
esmarch,158
complained,158
band,158
generalized,157
loose,157
impairment,157
tms,157
probable,157
mandible,157
question,157
fold,157
wave,156
prevent,156
ischemic,156
works,156
clips,156
traction,156
neurovascular,156
scrotal,156
baseline,156
vicodin,156
nuclear,156
allograft,155
seemed,155
concerns,155
bedtime,155
ulcer,155
quit,155
young,155
lisinopril,155
endocrine,154
articular,154
duodenum,154
resting,154
pmh,154
clearly,153
etiology,153
diabetic,153
beats,153
freed,153
title,153
transplant,153
lumbosacral,153
ointment,152
repeated,152
tonsil,152
covered,152
perfusion,151
obtaining,151
output,151
replaced,151
rales,151
believe,151
name,151
capillary,151
dominant,151
aspirated,150
tried,150
ptt,150
postop,150
mixture,150
nipple,150
maternal,150
ahead,149
gastroesophageal,149
absent,149
different,149
plavix,149
factors,149
includes,149
percutaneous,148
fallopian,148
membrane,148
gauze,148
nurse,148
pin,148
portions,148
tingling,148
written,148
clots,147
documented,147
cephalic,147
symptomatic,147
breasts,147
copd,147
etc,147
drinks,147
eeg,147
successful,147
acid,147
directly,147
laid,147
signed,147
mattress,147
penicillin,146
points,146
lying,146
beginning,146
mayo,146
deflated,146
making,146
observation,146
rhonchi,145
periosteum,145
bacitracin,145
life,145
elevator,145
osteophytes,145
profile,145
mixed,144
approximate,144
mobilized,144
subsequent,144
prescribed,144
event,144
meniscus,144
recurrence,144
serial,144
suspicious,144
standing,144
nonsmoker,144
endoscope,143
step,143
laminectomy,143
direction,143
ensure,143
metatarsophalangeal,143
prep,143
setting,143
periosteal,143
distribution,142
cannulated,142
cva,142
diastolic,142
causing,142
july,142
